kind,region_id,gt_hurt,n_neg_captured,coverage,support,n_sequences_with_neg,max_sequence_share,loo_all_gt_hurt_zero,loo_max_gt_hurt,enrichment,precision,productive_safe_point,feature_a,feature_b,direction_a,direction_b,combinator,not_a_safe_rule
pairwise_AND,AND::P::abs_log_h::high_tail::q8::P::resid_mean::low_tail::q13,21,11,0.367816091954023,32,6,0.28125,0,21,1.3002717391304348,0.34375,0,abs_log_h,resid_mean,high_tail,low_tail,AND,1
pairwise_AND,AND::P::abs_ratio_m1::high_tail::q12::P::score_m_bridge::high_tail::q3,21,11,0.367816091954023,32,5,0.21875,0,21,1.3002717391304348,0.34375,0,abs_ratio_m1,score_m_bridge,high_tail,high_tail,AND,1
pairwise_AND,AND::P::dist_h::high_tail::q7::P::score_m_bridge::low_tail::q15,22,12,0.39080459770114945,34,7,0.23529411764705882,0,22,1.3350383631713556,0.35294117647058826,0,dist_h,score_m_bridge,high_tail,low_tail,AND,1
pairwise_AND,AND::P::abs_log_h::high_tail::q8::P::dist_h::low_tail::q13,22,11,0.3793103448275862,33,6,0.2727272727272727,0,21,1.2608695652173911,0.3333333333333333,0,abs_log_h,dist_h,high_tail,low_tail,AND,1
pairwise_AND,AND::P::abs_ratio_m1::high_tail::q12::P::score_m_bridge::high_tail::q2,22,11,0.3793103448275862,33,5,0.21212121212121213,0,22,1.2608695652173911,0.3333333333333333,0,abs_ratio_m1,score_m_bridge,high_tail,high_tail,AND,1
pairwise_AND,AND::P::abs_log_h::high_tail::q0::P::dist_h::high_tail::q13,22,9,0.3563218390804598,31,6,0.25806451612903225,0,21,1.0981767180925666,0.2903225806451613,0,abs_log_h,dist_h,high_tail,high_tail,AND,1
pairwise_AND,AND::P::resid_mean::high_tail::q10::P::score_m_bridge::low_tail::q17,23,9,0.367816091954023,32,6,0.21875,0,22,1.0638586956521738,0.28125,0,resid_mean,score_m_bridge,high_tail,low_tail,AND,1
pairwise_AND,AND::P::abs_log_h::high_tail::q8::P::score_m_bridge::low_tail::q15,25,14,0.4482758620689655,39,6,0.23076923076923078,0,24,1.3578595317725752,0.358974358974359,0,abs_log_h,score_m_bridge,high_tail,low_tail,AND,1
pairwise_AND,AND::P::abs_log_h::high_tail::q8::P::resid_mean::high_tail::q6,25,12,0.42528735632183906,37,6,0.21621621621621623,0,23,1.226792009400705,0.32432432432432434,0,abs_log_h,resid_mean,high_tail,high_tail,AND,1
pairwise_AND,AND::P::abs_log_h::high_tail::q11::P::resid_mean::high_tail::q3,25,10,0.40229885057471265,35,5,0.2,0,24,1.0807453416149067,0.2857142857142857,0,abs_log_h,resid_mean,high_tail,high_tail,AND,1
