clause_id,n_folds_selected,selection_frequency,worst_holdout_gt_hurt,n_folds_holdout_gt_zero,n_folds_holdout_productive,sum_holdout_n_neg,nested_loso_portability_ok
AND::abs_log_h::high_tail::t0.168087020516::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::abs_log_h::high_tail::t0.185914617777::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::abs_log_h::high_tail::t0.19344856441::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::abs_log_h::high_tail::t0.27826962471::resid_mean::low_tail::t0.118021474779,1,0.14285714285714285,0,1,0,0,0
AND::abs_log_h::low_tail::t0.27826962471::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::abs_log_h::low_tail::t0.380730289221::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::dist_h::low_tail::t0.07399854064::abs_ratio_m1::low_tail::t0.006313502789,1,0.14285714285714285,0,1,0,0,0
AND::dist_h::low_tail::t0.091736523807::abs_ratio_m1::low_tail::t0.006313502789,1,0.14285714285714285,0,1,0,0,0
AND::dist_h::high_tail::t0.012143719941::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::dist_h::high_tail::t0.038242764771::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::dist_h::high_tail::t0.054458805174::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::dist_h::high_tail::t0.05951211527::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::dist_h::high_tail::t0.066367147863::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::dist_h::high_tail::t0.07399854064::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::dist_h::high_tail::t0.091736523807::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::dist_h::high_tail::t0.097961352766::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::dist_h::high_tail::t0.106969712675::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::dist_h::high_tail::t0.11865388006::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::dist_h::high_tail::t0.126542717218::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::dist_h::high_tail::t0.149553123116::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::dist_h::high_tail::t0.16407558322::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::dist_h::high_tail::t0.176848861575::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::dist_h::high_tail::t0.19862498641::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::dist_h::high_tail::t0.217775389552::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::dist_h::high_tail::t0.25051137507::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::dist_h::high_tail::t0.285446482897::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::dist_h::high_tail::t0.16407558322::resid_mean::low_tail::t0.083408424258,1,0.14285714285714285,0,1,0,0,0
AND::dist_h::low_tail::t0.324556523561::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::dist_h::low_tail::t0.38805924058::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::abs_ratio_m1::high_tail::t0.006313502789::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::abs_ratio_m1::high_tail::t0.009743118286::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::abs_ratio_m1::high_tail::t0.01427116394::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::abs_ratio_m1::high_tail::t0.018725419044::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::abs_ratio_m1::high_tail::t0.028987050056::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::abs_ratio_m1::high_tail::t0.032405483723::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::abs_ratio_m1::high_tail::t0.046496760845::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::abs_ratio_m1::high_tail::t0.052477896214::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::abs_ratio_m1::high_tail::t0.056894874573::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::abs_ratio_m1::high_tail::t0.071240901947::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::abs_ratio_m1::high_tail::t0.088091468811::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::abs_ratio_m1::high_tail::t0.103874099255::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::abs_ratio_m1::high_tail::t0.113646006584::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::abs_ratio_m1::high_tail::t0.135011470318::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::abs_ratio_m1::high_tail::t0.167541146278::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::abs_ratio_m1::high_tail::t0.171608519554::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::abs_ratio_m1::high_tail::t0.183313727379::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::abs_ratio_m1::low_tail::t0.273691833019::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::abs_ratio_m1::low_tail::t0.334022116661::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::high_tail::t0.141332727671::abs_log_h::low_tail::t0.005895621656,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::high_tail::t0.149008958042::abs_log_h::low_tail::t0.005895621656,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::high_tail::t0.157571278512::abs_log_h::low_tail::t0.005895621656,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::high_tail::t0.326739701629::abs_log_h::low_tail::t0.028973741923,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::high_tail::t0.326739701629::abs_log_h::low_tail::t0.039576689899,1,0.14285714285714285,1,0,0,0,0
AND::score_m_bridge::high_tail::t0.326739701629::abs_log_h::low_tail::t0.045822620019,1,0.14285714285714285,1,0,0,0,0
AND::score_m_bridge::high_tail::t0.326739701629::abs_log_h::low_tail::t0.051935681701,1,0.14285714285714285,1,0,0,0,0
AND::score_m_bridge::high_tail::t0.326739701629::abs_log_h::low_tail::t0.064724708349,1,0.14285714285714285,1,0,0,0,0
AND::score_m_bridge::high_tail::t0.344474604726::abs_log_h::low_tail::t0.028973741923,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::high_tail::t0.344474604726::abs_log_h::low_tail::t0.039576689899,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::high_tail::t0.344474604726::abs_log_h::low_tail::t0.045822620019,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::high_tail::t0.344474604726::abs_log_h::low_tail::t0.051935681701,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::high_tail::t0.344474604726::abs_log_h::low_tail::t0.064724708349,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.095463649929::abs_log_h::high_tail::t0.228337480128,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.095463649929::abs_log_h::high_tail::t0.36504316479,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.107211342081::abs_log_h::high_tail::t0.228337480128,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.107211342081::abs_log_h::high_tail::t0.36504316479,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.121850348264::abs_log_h::high_tail::t0.228337480128,1,0.14285714285714285,0,1,0,0,0
