theta_dist_h,theta_abs_log_h_ratio,n_gt_exposed_tracks,n_gt_hurt_offline_tracks,n_gt_hurt_runtime_tracks,l_gt_offline,l_gt_runtime,ucb_offline,ucb_runtime,offline_safe,runtime_safe,n_fp_exposed_pairs,n_fp_removed_offline_pairs,n_fp_removed_runtime_pairs,g_fp_offline,g_fp_runtime,active_offline_safe,dist_direction_flips,ratio_direction_flips,region_jaccard,unjoined_m,v5_coverage_pass
0.6,0.4,116,30,22,0.25862068965517243,0.1896551724137931,0.33403695980041115,0.2596099600731927,False,False,1373,1165,1145,0.8485069191551348,0.8339402767662054,False,72,235,0.9352941176470588,703,False
0.6,0.45,116,29,21,0.25,0.1810344827586207,0.32486066988678536,0.2501241841478092,False,False,1373,1150,1127,0.8375819373634378,0.820830298616169,False,72,234,0.9329858525688757,696,False
0.6,0.5,116,29,20,0.25,0.1724137931034483,0.32486066988678536,0.2405912188949647,False,False,1373,1146,1113,0.8346686088856519,0.8106336489439184,False,72,186,0.9360421369450714,691,False
0.6,0.55,116,29,20,0.25,0.1724137931034483,0.32486066988678536,0.2405912188949647,False,False,1373,1140,1112,0.830298616168973,0.809905316824472,False,72,125,0.9373111782477341,688,False
0.6,0.6,116,29,20,0.25,0.1724137931034483,0.32486066988678536,0.2405912188949647,False,False,1373,1139,1112,0.8295702840495266,0.809905316824472,False,72,96,0.9387291981845688,688,False
0.7,0.05,116,79,79,0.6810344827586207,0.6810344827586207,0.7523762144348469,0.7523762144348469,False,False,1373,1321,1327,0.9621267297887837,0.9664967225054625,False,59,310,0.9230299328039095,817,False
0.7,0.1,116,59,51,0.5086206896551724,0.4396551724137931,0.5884257024484595,0.5202693625182491,False,False,1373,1265,1279,0.9213401310997815,0.9315367807720321,False,59,384,0.9021113243761996,760,False
0.7,0.15,116,40,37,0.3448275862068966,0.31896551724137934,0.4241448663942594,0.3974078571912472,False,False,1373,1227,1247,0.8936635105608157,0.9082301529497451,False,59,323,0.9133646742780389,732,False
0.7,0.2,116,34,31,0.29310344827586204,0.2672413793103448,0.3704255779343979,0.34318065851471447,False,False,1373,1202,1205,0.875455207574654,0.8776402039329935,False,59,302,0.919276270006959,721,False
0.7,0.25,116,29,27,0.25,0.23275862068965517,0.32486066988678536,0.30640594544267286,False,False,1373,1175,1171,0.8557902403495994,0.8528769118718136,False,59,319,0.912981455064194,708,False
0.7,0.3,116,28,26,0.2413793103448276,0.22413793103448276,0.31565072126999494,0.2971250606817547,False,False,1373,1154,1146,0.8404952658412236,0.8346686088856519,False,59,272,0.9167883211678832,695,False
0.7,0.35,116,27,25,0.23275862068965517,0.21551724137931033,0.30640594544267286,0.2878066577616307,False,False,1373,1141,1125,0.8310269482884195,0.8193736343772761,False,59,279,0.9190794357832219,685,False
0.7,0.4,116,27,21,0.23275862068965517,0.1810344827586207,0.30640594544267286,0.2501241841478092,False,False,1373,1128,1101,0.8215586307356154,0.8018936635105608,False,59,235,0.9299847792998478,677,False
0.7,0.45,116,26,20,0.22413793103448276,0.1724137931034483,0.2971250606817547,0.2405912188949647,False,False,1373,1109,1076,0.8077203204661325,0.7836853605243991,False,59,234,0.9256965944272446,670,False
0.7,0.5,116,26,19,0.22413793103448276,0.16379310344827586,0.2971250606817547,0.23100839947367666,False,False,1373,1105,1056,0.8048069919883467,0.7691187181354697,False,59,186,0.9323899371069182,665,False
0.7,0.55,116,26,19,0.22413793103448276,0.16379310344827586,0.2971250606817547,0.23100839947367666,False,False,1373,1099,1054,0.8004369992716679,0.7676620538965768,False,59,125,0.9359683794466404,658,False
0.7,0.6,116,26,19,0.22413793103448276,0.16379310344827586,0.2971250606817547,0.23100839947367666,False,False,1373,1096,1054,0.7982520029133284,0.7676620538965768,False,59,96,0.9389373513084853,658,False
0.8,0.05,116,76,79,0.6551724137931034,0.6810344827586207,0.7284114925989438,0.7523762144348469,False,False,1373,1314,1322,0.9570284049526584,0.9628550619082301,False,62,310,0.9166666666666666,816,False
0.8,0.1,116,56,49,0.4827586206896552,0.4224137931034483,0.5630350028524684,0.5030046112795875,False,False,1373,1254,1267,0.9133284777858703,0.9227967953386744,False,62,384,0.8875321336760925,758,False
0.8,0.15,116,37,35,0.31896551724137934,0.3017241379310345,0.3974078571912472,0.37944790540451523,False,False,1373,1206,1229,0.8783685360524399,0.8951201747997086,False,62,323,0.8974881194840462,729,False
0.8,0.2,116,30,29,0.25862068965517243,0.25,0.33403695980041115,0.32486066988678536,False,False,1373,1177,1182,0.8572469045884924,0.8608885651857247,False,62,302,0.9065817409766455,717,False
